,Ano,Mes,Dia,hora,T20 Laje,T05 Ponte
443,2014,11,14,11,17.034,23.184
444,2014,11,14,12,17.748,23.833
445,2014,11,14,13,17.32,23.713
446,2014,11,14,14,17.391,23.04
447,2014,11,14,15,18.057,22.537
448,2014,11,14,16,18.343,23.569
449,2014,11,14,17,16.63,23.713
450,2014,11,14,18,16.558,23.641
451,2014,11,14,19,17.058,22.896
452,2014,11,14,20,17.439,22.609
453,2014,11,14,21,18.366,22.8
454,2014,11,14,22,18.057,22.8
455,2014,11,14,23,18.461,23.112
456,2014,11,15,0,19.555,23.328
457,2014,11,15,1,17.463,23.352
458,2014,11,15,2,17.296,23.521
459,2014,11,15,3,17.153,23.28
460,2014,11,15,4,19.413,23.184
461,2014,11,15,5,18.557,23.256
462,2014,11,15,6,16.82,23.665
463,2014,11,15,7,17.796,23.04
464,2014,11,15,8,18.557,22.489
465,2014,11,15,9,18.913,21.819
466,2014,11,15,10,19.199,22.681
467,2014,11,15,11,18.913,22.226
468,2014,11,15,12,18.771,22.298
469,2014,11,15,13,18.604,22.896
470,2014,11,15,14,18.604,22.824
471,2014,11,15,15,19.032,22.824
472,2014,11,15,16,19.103,23.689
473,2014,11,15,17,20.746,23.304
474,2014,11,15,18,17.653,23.424
475,2014,11,15,19,18.152,23.857
476,2014,11,15,20,18.438,22.369
477,2014,11,15,21,19.151,22.681
478,2014,11,15,22,19.555,22.13
479,2014,11,15,23,19.27,22.274
480,2014,11,16,0,19.841,22.513
481,2014,11,16,1,19.698,22.992
482,2014,11,16,2,18.794,23.328
483,2014,11,16,3,20.198,23.448
484,2014,11,16,4,21.39,23.665
485,2014,11,16,5,21.056,23.641
486,2014,11,16,6,18.057,23.905
487,2014,11,16,7,18.081,23.521
488,2014,11,16,8,18.723,22.345
489,2014,11,16,9,19.46,22.393
490,2014,11,16,10,19.96,21.652
491,2014,11,16,11,20.174,22.513
492,2014,11,16,12,19.674,22.609
493,2014,11,16,13,19.555,22.681
494,2014,11,16,14,19.936,23.184
495,2014,11,16,15,18.319,23.424
496,2014,11,16,16,19.318,23.665
497,2014,11,16,17,18.081,23.04
498,2014,11,16,18,19.175,22.896
499,2014,11,16,19,18.247,23.954
500,2014,11,16,20,18.842,22.681
501,2014,11,16,21,19.08,21.127
502,2014,11,16,22,19.579,22.202
503,2014,11,16,23,20.031,22.8
504,2014,11,17,0,19.674,22.034
505,2014,11,17,1,19.008,22.705
506,2014,11,17,2,18.675,23.088
507,2014,11,17,3,18.961,23.424
508,2014,11,17,4,18.889,23.569
509,2014,11,17,5,18.866,23.881
510,2014,11,17,6,20.365,23.93
511,2014,11,17,7,19.032,23.689
512,2014,11,17,8,19.27,23.617
513,2014,11,17,9,19.246,22.729
514,2014,11,17,10,19.627,22.537
515,2014,11,17,11,19.936,21.843
516,2014,11,17,12,19.841,22.154
517,2014,11,17,13,19.865,22.537
518,2014,11,17,14,19.865,22.537
519,2014,11,17,15,19.413,23.208
520,2014,11,17,16,19.294,23.04
521,2014,11,17,17,19.151,23.4
522,2014,11,17,18,19.151,23.424
523,2014,11,17,19,20.126,24.05
524,2014,11,17,20,19.222,23.304
525,2014,11,17,21,19.579,22.082
526,2014,11,17,22,19.555,21.867
527,2014,11,17,23,19.936,22.441
528,2014,11,18,0,20.246,21.294
529,2014,11,18,1,19.888,21.39
530,2014,11,18,2,20.15,22.058
531,2014,11,18,3,19.77,22.489
532,2014,11,18,4,19.651,22.298
533,2014,11,18,5,19.603,22.609
534,2014,11,18,6,19.651,23.497
535,2014,11,18,7,20.174,23.424
536,2014,11,18,8,19.984,23.376
537,2014,11,18,9,19.698,23.208
538,2014,11,18,10,20.126,21.795
539,2014,11,18,11,19.579,21.628
540,2014,11,18,12,19.508,21.581
541,2014,11,18,13,20.031,21.963
542,2014,11,18,14,19.865,21.748
543,2014,11,18,15,19.722,22.633
544,2014,11,18,16,19.96,23.28
545,2014,11,18,17,19.984,22.848
546,2014,11,18,18,20.079,23.184
547,2014,11,18,19,20.055,23.857
548,2014,11,18,20,20.412,23.569
549,2014,11,18,21,20.031,23.497
550,2014,11,18,22,20.007,22.106
551,2014,11,18,23,19.936,22.489
552,2014,11,19,0,19.817,21.127
553,2014,11,19,1,19.793,21.509
554,2014,11,19,2,20.126,21.628
555,2014,11,19,3,20.031,21.676
556,2014,11,19,4,20.246,21.987
557,2014,11,19,5,20.412,22.537
558,2014,11,19,6,20.246,23.376
559,2014,11,19,7,20.531,23.304
560,2014,11,19,8,20.269,23.328
561,2014,11,19,9,19.96,23.448
562,2014,11,19,10,18.604,22.705
563,2014,11,19,11,19.222,22.082
564,2014,11,19,12,18.818,21.939
565,2014,11,19,13,18.319,21.342
566,2014,11,19,14,18.224,20.746
567,2014,11,19,15,18.343,22.274
568,2014,11,19,16,19.008,23.232
569,2014,11,19,17,19.436,22.968
570,2014,11,19,18,19.413,23.857
571,2014,11,19,19,19.746,23.857
572,2014,11,19,20,20.341,23.978
573,2014,11,19,21,19.389,23.593
574,2014,11,19,22,19.103,23.881
575,2014,11,19,23,18.937,23.064
576,2014,11,20,0,18.343,21.461
577,2014,11,20,1,17.629,21.079
578,2014,11,20,2,17.653,20.96
579,2014,11,20,3,18.461,21.533
580,2014,11,20,4,18.057,22.321
581,2014,11,20,5,19.341,22.13
582,2014,11,20,6,18.866,22.8
583,2014,11,20,7,19.555,23.689
584,2014,11,20,8,19.77,23.497
585,2014,11,20,9,19.508,23.448
586,2014,11,20,10,17.368,23.304
587,2014,11,20,11,16.487,22.441
588,2014,11,20,12,16.32,21.652
589,2014,11,20,13,16.725,21.509
590,2014,11,20,14,15.867,20.484
591,2014,11,20,15,16.534,21.413
592,2014,11,20,16,16.558,22.896
593,2014,11,20,17,16.654,23.545
594,2014,11,20,18,17.082,22.705
595,2014,11,20,19,17.391,23.28
596,2014,11,20,20,18.652,23.521
597,2014,11,20,21,19.96,23.521
598,2014,11,20,22,17.843,23.761
